sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s194	s194_a1	sample	1	a	1	17	2015-03-05 20:40:00	23-dinor-8-iso-PGF2a	3.46	414	23-dinor-8-iso-PGF2a_ISTD	4.643	48643
s194	s194_a1	sample	1	a	1	17	2015-03-05 20:40:00	8-iso-PGF3a	3.678	14793	8-iso-PGF3a_ISTD	4.643	48643
s141	s141_a1	sample	1	a	1	18	2015-03-05 20:54:00	23-dinor-11b-PGF2a	4.015	1100	23-dinor-11b-PGF2a_ISTD	5.2	200152
s141	s141_a1	sample	1	a	1	18	2015-03-05 20:54:00	23-dinor-8-iso-PGF2a	3.4	1736	23-dinor-8-iso-PGF2a_ISTD	4.638	52356
s141	s141_a1	sample	1	a	1	18	2015-03-05 20:54:00	8-iso-PGF3a	3.993	10653	8-iso-PGF3a_ISTD	4.638	52356
s083	s083_a1	sample	1	a	1	19	2015-03-05 21:09:00	23-dinor-11b-PGF2a	4.017	1081	23-dinor-11b-PGF2a_ISTD	5.198	197437
s083	s083_a1	sample	1	a	1	19	2015-03-05 21:09:00	23-dinor-8-iso-PGF2a	3.446	492	23-dinor-8-iso-PGF2a_ISTD	4.639	46914
s083	s083_a1	sample	1	a	1	19	2015-03-05 21:09:00	8-iso-PGF3a	4.007	6117	8-iso-PGF3a_ISTD	4.639	46914
s071	s071_a1	sample	1	a	1	20	2015-03-05 21:23:00	23-dinor-11b-PGF2a	4.027	593	23-dinor-11b-PGF2a_ISTD	5.198	197285
s071	s071_a1	sample	1	a	1	20	2015-03-05 21:23:00	23-dinor-8-iso-PGF2a	3.449	634	23-dinor-8-iso-PGF2a_ISTD	4.638	46884
s071	s071_a1	sample	1	a	1	20	2015-03-05 21:23:00	8-iso-PGF3a	3.706	13260	8-iso-PGF3a_ISTD	4.638	46884
s183	s183_a1	sample	1	a	1	21	2015-03-05 21:37:00	23-dinor-11b-PGF2a	4.02	986	23-dinor-11b-PGF2a_ISTD	5.207	186578
s183	s183_a1	sample	1	a	1	21	2015-03-05 21:37:00	23-dinor-8-iso-PGF2a	3.444	399	23-dinor-8-iso-PGF2a_ISTD	4.64	43667
s183	s183_a1	sample	1	a	1	21	2015-03-05 21:37:00	8-iso-PGF3a	3.768	11600	8-iso-PGF3a_ISTD	4.64	43667
s091	s091_a1	sample	1	a	1	22	2015-03-05 21:52:00	23-dinor-11b-PGF2a	4.035	738	23-dinor-11b-PGF2a_ISTD	5.203	202844
s091	s091_a1	sample	1	a	1	22	2015-03-05 21:52:00	23-dinor-8-iso-PGF2a	3.415	897	23-dinor-8-iso-PGF2a_ISTD	4.644	46733
s091	s091_a1	sample	1	a	1	22	2015-03-05 21:52:00	8-iso-PGF3a	3.665	11954	8-iso-PGF3a_ISTD	4.644	46733
s0001_qc	s0001qc_c1	qc	1	c	1	23	2015-03-05 22:06:00	23-dinor-11b-PGF2a	3.787	85	23-dinor-11b-PGF2a_ISTD	5.204	161632
s0001_qc	s0001qc_c1	qc	1	c	1	23	2015-03-05 22:06:00	23-dinor-8-iso-PGF2a	3.395	489	23-dinor-8-iso-PGF2a_ISTD	4.644	38279
s0001_qc	s0001qc_c1	qc	1	c	1	23	2015-03-05 22:06:00	8-iso-PGF3a	3.679	10834	8-iso-PGF3a_ISTD	4.644	38279
s163	s163_a1	sample	1	a	1	24	2015-03-05 22:21:00	23-dinor-11b-PGF2a	4.03	1037	23-dinor-11b-PGF2a_ISTD	5.206	195370
s163	s163_a1	sample	1	a	1	24	2015-03-05 22:21:00	23-dinor-8-iso-PGF2a	3.46	805	23-dinor-8-iso-PGF2a_ISTD	4.644	43706
s163	s163_a1	sample	1	a	1	24	2015-03-05 22:21:00	8-iso-PGF3a	3.68	13259	8-iso-PGF3a_ISTD	4.644	43706
s032	s032_a1	sample	1	a	1	25	2015-03-05 22:35:00	23-dinor-11b-PGF2a	4.032	1922	23-dinor-11b-PGF2a_ISTD	5.209	210769
s032	s032_a1	sample	1	a	1	25	2015-03-05 22:35:00	23-dinor-8-iso-PGF2a	3.397	1335	23-dinor-8-iso-PGF2a_ISTD	4.646	51982
s032	s032_a1	sample	1	a	1	25	2015-03-05 22:35:00	8-iso-PGF3a	3.776	5742	8-iso-PGF3a_ISTD	4.646	51982
s197	s197_a1	sample	1	a	1	26	2015-03-05 22:49:00	23-dinor-11b-PGF2a	4.033	980	23-dinor-11b-PGF2a_ISTD	5.212	206437
s197	s197_a1	sample	1	a	1	26	2015-03-05 22:49:00	23-dinor-8-iso-PGF2a	3.477	1040	23-dinor-8-iso-PGF2a_ISTD	4.646	47617
