sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s02_cal1	s02cal1_a2	cal	2	a	2	72	1970-01-03 08:34:32	L-histidine	1.48	24404	L-histidine_ISTD		127664
s02_cal1	s02cal1_a2	cal	2	a	2	72	1970-01-03 08:34:32	L-histidine	1.50	25453	L-histidine_ISTD		137052
s02_cal1	s02cal1_a2	cal	2	a	2	72	1970-01-03 08:34:32	o-phosphoethanolamine	1.67	5400	o-phosphoethanolamine_ISTD		127664
s02_cal1	s02cal1_a2	cal	2	a	2	72	1970-01-03 08:34:32	o-phosphoethanolamine	1.69	5683	o-phosphoethanolamine_ISTD		137052
s02_cal2	s02cal2_a2	cal	2	a	2	73	1970-01-03 08:34:33	L-4-hydroxy-proline	1.41	29254	L-4-hydroxy-proline_ISTD		143455
s02_cal2	s02cal2_a2	cal	2	a	2	73	1970-01-03 08:34:33	L-4-hydroxy-proline	1.41	29411	L-4-hydroxy-proline_ISTD		147654
s02_cal2	s02cal2_a2	cal	2	a	2	73	1970-01-03 08:34:33	L-histidine	1.48	27619	L-histidine_ISTD		143455
s02_cal2	s02cal2_a2	cal	2	a	2	73	1970-01-03 08:34:33	L-histidine	1.50	27768	L-histidine_ISTD		147654
s02_cal2	s02cal2_a2	cal	2	a	2	73	1970-01-03 08:34:33	o-phosphoethanolamine	1.68	12036	o-phosphoethanolamine_ISTD		143455
s02_cal2	s02cal2_a2	cal	2	a	2	73	1970-01-03 08:34:33	o-phosphoethanolamine	1.69	12821	o-phosphoethanolamine_ISTD		147654
s02_cal3	s02cal3_a2	cal	2	a	2	74	1970-01-03 08:34:34	L-4-hydroxy-proline	1.41	38719	L-4-hydroxy-proline_ISTD		143892
s02_cal3	s02cal3_a2	cal	2	a	2	74	1970-01-03 08:34:34	L-4-hydroxy-proline	1.41	39589	L-4-hydroxy-proline_ISTD		151027
s02_cal3	s02cal3_a2	cal	2	a	2	74	1970-01-03 08:34:34	L-histidine	1.49	30587	L-histidine_ISTD		143892
s02_cal3	s02cal3_a2	cal	2	a	2	74	1970-01-03 08:34:34	L-histidine	1.50	31474	L-histidine_ISTD		151027
s02_cal3	s02cal3_a2	cal	2	a	2	74	1970-01-03 08:34:34	o-phosphoethanolamine	1.68	23003	o-phosphoethanolamine_ISTD		143892
s02_cal3	s02cal3_a2	cal	2	a	2	74	1970-01-03 08:34:34	o-phosphoethanolamine	1.69	24838	o-phosphoethanolamine_ISTD		151027
s02_cal4	s02cal4_a2	cal	2	a	2	75	1970-01-03 08:34:35	L-4-hydroxy-proline	1.41	60760	L-4-hydroxy-proline_ISTD		139475
s02_cal4	s02cal4_a2	cal	2	a	2	75	1970-01-03 08:34:35	L-4-hydroxy-proline	1.42	63159	L-4-hydroxy-proline_ISTD		147188
s02_cal4	s02cal4_a2	cal	2	a	2	75	1970-01-03 08:34:35	L-histidine	1.48	37558	L-histidine_ISTD		139475
s02_cal4	s02cal4_a2	cal	2	a	2	75	1970-01-03 08:34:35	L-histidine	1.50	39116	L-histidine_ISTD		147188
s02_cal4	s02cal4_a2	cal	2	a	2	75	1970-01-03 08:34:35	o-phosphoethanolamine	1.68	47395	o-phosphoethanolamine_ISTD		139475
s02_cal4	s02cal4_a2	cal	2	a	2	75	1970-01-03 08:34:35	o-phosphoethanolamine	1.69	50005	o-phosphoethanolamine_ISTD		147188
s02_cal5	s02cal5_a2	cal	2	a	2	76	1970-01-03 08:34:36	L-4-hydroxy-proline	1.41	101893	L-4-hydroxy-proline_ISTD		138091
s02_cal5	s02cal5_a2	cal	2	a	2	76	1970-01-03 08:34:36	L-4-hydroxy-proline	1.42	104433	L-4-hydroxy-proline_ISTD		145599
s02_cal5	s02cal5_a2	cal	2	a	2	76	1970-01-03 08:34:36	L-histidine	1.49	50602	L-histidine_ISTD		138091
s02_cal5	s02cal5_a2	cal	2	a	2	76	1970-01-03 08:34:36	L-histidine	1.50	53399	L-histidine_ISTD		145599
s02_cal5	s02cal5_a2	cal	2	a	2	76	1970-01-03 08:34:36	o-phosphoethanolamine	1.68	95209	o-phosphoethanolamine_ISTD		138091
s02_cal5	s02cal5_a2	cal	2	a	2	76	1970-01-03 08:34:36	o-phosphoethanolamine	1.69	102188	o-phosphoethanolamine_ISTD		145599
