ID#	1							
Name	2_3-dinor-8-iso-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
1	S0002BLANK_A1.lcd	Unknown	3,787	1044	9,93	-----	-----	11/03/15 12:44
2	S0002BLANK_A2.lcd	Unknown	3,837	403	4,51	-----	-----	11/03/15 15:08
3	S0002BLANK_B1.lcd	Unknown	3,788	822	5,3	-----	-----	12/03/15 16:20
4	S0002BLANK_B2.lcd	Unknown	3,807	1136	8,23	-----	-----	12/03/15 18:44
5	S0002CAL0_A1.lcd	Unknown	3,867	6805	1,74	47217	4,518	11/03/15 13:13
6	S0002CAL0_A2.lcd	Unknown	-----	-----	-----	41051	4,549	12/03/15 16:49
7	S0002CAL1_A1.lcd	Unknown	3,638	5677	2,34	45289	4,514	11/03/15 13:27
8	S0002CAL1_A2.lcd	Unknown	-----	-----	-----	43056	4,544	12/03/15 17:03
9	S0002CAL2_A1.lcd	Unknown	3,873	4078	2,46	50785	4,514	11/03/15 13:42
10	S0002CAL2_A2.lcd	Unknown	3,636	6856	2,58	39116	4,548	12/03/15 17:17
11	S0002CAL3_A1.lcd	Unknown	3,734	7973	3,44	48201	4,508	11/03/15 13:56
12	S0002CAL3_A2.lcd	Unknown	3,759	9107	5,83	43540	4,542	12/03/15 17:32
13	S0002CAL4_A1.lcd	Unknown	3,874	5057	3,25	52472	4,516	11/03/15 14:10
14	S0002CAL4_A2.lcd	Unknown	3,892	6371	2,85	44476	4,546	12/03/15 17:46
15	S0002CAL5_A1.lcd	Unknown	3,732	52619	30,01	46741	4,509	11/03/15 14:25
16	S0002CAL5_A2.lcd	Unknown	3,883	8203	2,41	37552	4,541	12/03/15 18:01
17	S0002CAL6_A1.lcd	Unknown	3,855	10329	5,57	51860	4,505	11/03/15 14:39
18	S0002CAL6_A2.lcd	Unknown	3,892	11168	3,89	44005	4,539	12/03/15 18:15
19	S0002QC_A1.lcd	Unknown	3,877	5324	1,91	50056	4,513	11/03/15 12:29
20	S0002QC_A2.lcd	Unknown	3,64	7322	2,1	43400	4,514	11/03/15 12:58
21	S0002QC_B1.lcd	Unknown	3,638	4351	2,69	48134	4,515	11/03/15 14:54
22	S0002QC_B2.lcd	Unknown	3,867	5033	1,43	43809	4,516	11/03/15 15:22
23	S0002QC_C1.lcd	Unknown	3,868	6111	1,88	44933	4,51	11/03/15 17:47
24	S0002QC_C2.lcd	Unknown	-----	-----	-----	47179	4,576	12/03/15 00:44
25	S0002QC_D1.lcd	Unknown	-----	-----	-----	46397	4,573	12/03/15 03:23
26	S0002QC_D2.lcd	Unknown	-----	-----	-----	45609	4,577	12/03/15 06:01
27	S0002QC_E1.lcd	Unknown	-----	-----	-----	46365	4,556	12/03/15 08:39
28	S0002QC_E2.lcd	Unknown	-----	-----	-----	48498	4,541	12/03/15 11:18
29	S0002QC_F1.lcd	Unknown	-----	-----	-----	40360	4,554	12/03/15 13:56
30	S0002QC_G1.lcd	Unknown	3,877	7415	1,08	38061	4,545	12/03/15 16:06
31	S0002QC_G2.lcd	Unknown	-----	-----	-----	36700	4,54	12/03/15 16:34
32	S0002QC_H1.lcd	Unknown	3,903	10197	1,89	37196	4,553	12/03/15 18:30
33	S0002QC_H2.lcd	Unknown	-----	-----	-----	39072	4,551	12/03/15 18:58
34	S001_A1.lcd	Unknown	-----	-----	-----	42408	4,545	12/03/15 13:42
35	S004_A1.lcd	Unknown	-----	-----	-----	43048	4,561	12/03/15 08:25
36	S005_A1.lcd	Unknown	3,674	9912	6,07	42516	4,549	12/03/15 09:23
37	S008_A1.lcd	Unknown	3,683	7372	3,94	41381	4,57	12/03/15 04:49
38	S009_A1.lcd	Unknown	3,745	3868	2,73	37513	4,578	12/03/15 03:08
39	S012_A1.lcd	Unknown	-----	-----	-----	39367	4,509	11/03/15 16:49
40	S014_A1.lcd	Unknown	-----	-----	-----	44615	4,544	12/03/15 10:49
41	S022_A1.lcd	Unknown	3,938	5709	3,64	36025	4,553	12/03/15 14:10
42	S022_B1.lcd	Unknown	3,906	2391	0,94	35664	4,539	11/03/15 21:41
43	S022_B2.lcd	Unknown	3,949	7735	5,42	35627	4,594	11/03/15 23:32
44	S024_A1.lcd	Unknown	3,645	5938	3,6	44306	4,569	12/03/15 02:54
45	S026_A1.lcd	Unknown	-----	-----	-----	50062	4,546	12/03/15 14:53
46	S029_A1.lcd	Unknown	4,018	3168	3,61	42284	4,545	11/03/15 21:13
47	S033_A1.lcd	Unknown	3,654	8156	4,11	44485	4,543	12/03/15 13:13
48	S035_A1.lcd	Unknown	4,05	26562	7,21	46709	4,504	11/03/15 17:32
49	S036_A1.lcd	Unknown	4,031	8886	4,05	35703	4,503	11/03/15 16:20
50	S037_A1.lcd	Unknown	3,645	11198	2,19	41054	4,548	12/03/15 08:54
51	S039_A1.lcd	Unknown	-----	-----	-----	40485	4,571	12/03/15 05:32
52	S039_B1.lcd	Unknown	-----	-----	-----	42616	4,555	12/03/15 07:56
53	S041_A1.lcd	Unknown	-----	-----	-----	44792	4,575	12/03/15 01:56
54	S044_A1.lcd	Unknown	3,9	39999	15,9	44702	4,502	11/03/15 17:18
55	S045_A1.lcd	Unknown	3,649	274544	229	45355	4,546	12/03/15 11:46
56	S048_A1.lcd	Unknown	-----	-----	-----	45009	4,574	12/03/15 07:27
57	S049_A1.lcd	Unknown	-----	-----	-----	52905	4,583	12/03/15 00:29
58	S050_A1.lcd	Unknown	4,032	4857	6,86	43830	4,573	12/03/15 06:44
59	S051_A1.lcd	Unknown	3,649	6863	8,59	38686	4,573	12/03/15 04:20
60	S054_A1.lcd	Unknown	3,878	6766	0,62	20027	4,513	11/03/15 16:35
61	S055_A1.lcd	Unknown	4,039	3045	3,85	43647	4,572	12/03/15 04:06
62	S056_A1.lcd	Unknown	3,672	4259	3,87	38182	4,55	12/03/15 12:01
63	S056_B1.lcd	Unknown	3,916	11362	1,43	40155	4,58	12/03/15 01:41
64	S060_A1.lcd	Unknown	3,865	13066	1,84	39261	4,512	11/03/15 15:52
65	S061_A1.lcd	Unknown	-----	-----	-----	42329	4,54	12/03/15 11:32
66	S063_A1.lcd	Unknown	-----	-----	-----	48677	4,58	12/03/15 00:15
67	S064_A1.lcd	Unknown	-----	-----	-----	39467	4,574	12/03/15 06:59
68	S067_A1.lcd	Unknown	3,674	10002	4,88	45983	4,566	12/03/15 04:35
69	S068_A1.lcd	Unknown	4,029	7201	4,73	33364	4,489	11/03/15 18:16
70	S068_A3.lcd	Unknown	3,672	6644	5,18	44351	4,547	11/03/15 20:44
71	S074_A1.lcd	Unknown	-----	-----	-----	47001	4,581	11/03/15 23:46
72	S080_A1.lcd	Unknown	-----	-----	-----	59133	4,572	12/03/15 00:58
73	S087_A1.lcd	Unknown	-----	-----	-----	46889	4,582	12/03/15 01:27
74	S087_B1.lcd	Unknown	4,019	5162	1,7	45915	4,551	12/03/15 12:15
75	S089_A1.lcd	Unknown	3,973	4531	0,74	41924	4,57	12/03/15 03:37
76	S089_B1.lcd	Unknown	3,663	3514	3,36	39547	4,55	12/03/15 10:06
77	S094_A1.lcd	Unknown	3,901	8335	2,43	34865	4,546	12/03/15 12:44
78	S103_A1.lcd	Unknown	3,899	6138	1,46	41468	4,557	12/03/15 12:30
79	S109_A1.lcd	Unknown	-----	-----	-----	45556	4,537	12/03/15 11:03
80	S112_A1.lcd	Unknown	-----	-----	-----	33339	4,579	12/03/15 06:15
81	S113_A1.lcd	Unknown	4,044	24575	10,54	41036	4,509	11/03/15 16:06
82	S114_A1.lcd	Unknown	-----	-----	-----	44571	4,568	12/03/15 05:18
83	S119_A1.lcd	Unknown	-----	-----	-----	44096	4,555	12/03/15 15:08
84	S121_A1.lcd	Unknown	-----	-----	-----	39726	4,575	12/03/15 02:25
85	S123_A1.lcd	Unknown	-----	-----	-----	46661	4,538	12/03/15 10:20
86	S127_A1.lcd	Unknown	-----	-----	-----	36854	4,565	12/03/15 05:03
87	S128_A1.lcd	Unknown	-----	-----	-----	40662	4,538	11/03/15 21:27
88	S128_B1.lcd	Unknown	-----	-----	-----	40559	4,55	12/03/15 14:25
89	S129_A1.lcd	Unknown	3,636	13415	7,66	36629	4,547	12/03/15 09:37
90	S133_A1.lcd	Unknown	3,646	17705	10,11	43491	4,539	12/03/15 10:34
91	S136_A1.lcd	Unknown	4,045	26454	9	47121	4,503	11/03/15 17:04
92	S136_B1.lcd	Unknown	3,649	8060	6,19	47244	4,549	12/03/15 15:51
93	S140_A1.lcd	Unknown	4,05	4699	2,42	53588	4,509	11/03/15 15:37
94	S142_A1.lcd	Unknown	3,654	8450	6,26	44330	4,552	12/03/15 15:22
95	S152_A1.lcd	Unknown	3,683	12777	3,87	45950	4,561	12/03/15 06:30
96	S154_A1.lcd	Unknown	-----	-----	-----	39287	4,541	12/03/15 12:58
97	S157_A1.lcd	Unknown	3,661	3428	2,48	36017	4,55	12/03/15 15:37
98	S161_A1.lcd	Unknown	3,737	1136	2,18	36019	4,577	12/03/15 01:13
99	S168_A1.lcd	Unknown	3,962	6734	2,53	44266	4,547	11/03/15 20:58
100	S170_A1.lcd	Unknown	3,69	4690	2,41	45705	4,507	11/03/15 18:01
101	S170_A3.lcd	Unknown	3,936	7512	4,5	44630	4,795	11/03/15 20:29
102	S175_A1.lcd	Unknown	3,67	15598	3,41	41322	4,547	12/03/15 13:27
103	S177_A1.lcd	Unknown	3,737	7117	3,53	41929	4,574	12/03/15 02:10
104	S181_A1.lcd	Unknown	-----	-----	-----	49598	4,542	12/03/15 09:08
105	S184_A1.lcd	Unknown	3,939	16147	5,28	46715	4,563	12/03/15 08:11
106	S185_A1.lcd	Unknown	3,754	1165	0,82	45924	4,578	12/03/15 00:00
107	S186_A1.lcd	Unknown	4,01	23532	13,18	49993	4,551	12/03/15 09:51
108	S186_B1.lcd	Unknown	3,684	9374	3,09	47998	4,574	12/03/15 03:51
109	S188_A1.lcd	Unknown	-----	-----	-----	40766	4,577	12/03/15 02:39
110	S191_A1.lcd	Unknown	3,671	3614	3,23	55655	4,568	12/03/15 07:42
111	S191_B1.lcd	Unknown	3,908	4102	2,2	41224	4,572	12/03/15 05:47
112	S201_A1.lcd	Unknown	-----	-----	-----	34359	4,572	12/03/15 07:13
113	S203_A1.lcd	Unknown	4,019	5815	7,6	42903	4,56	12/03/15 14:39
								
ID#	3							
Name	2_3-dinor-11b-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
1	S0002BLANK_A1.lcd	Unknown	-----	-----	-----	-----	-----	11/03/15 12:44
2	S0002BLANK_A2.lcd	Unknown	-----	-----	-----	-----	-----	11/03/15 15:08
3	S0002BLANK_B1.lcd	Unknown	-----	-----	-----	-----	-----	12/03/15 16:20
4	S0002BLANK_B2.lcd	Unknown	-----	-----	-----	130	5,269	12/03/15 18:44
5	S0002CAL0_A1.lcd	Unknown	3,907	850	69,68	181235	5,066	11/03/15 13:13
6	S0002CAL0_A2.lcd	Unknown	3,779	75	0,94	153961	5,097	12/03/15 16:49
7	S0002CAL1_A1.lcd	Unknown	3,896	928	24,85	179916	5,059	11/03/15 13:27
8	S0002CAL1_A2.lcd	Unknown	3,919	766	20,38	155818	5,091	12/03/15 17:03
9	S0002CAL2_A1.lcd	Unknown	3,885	1055	16,53	177171	5,057	11/03/15 13:42
10	S0002CAL2_A2.lcd	Unknown	3,905	749	14,2	149212	5,091	12/03/15 17:17
11	S0002CAL3_A1.lcd	Unknown	3,889	913	5,43	187247	5,055	11/03/15 13:56
12	S0002CAL3_A2.lcd	Unknown	3,907	1043	7,82	152128	5,094	12/03/15 17:32
