Sample Name	Acquisition Date & Time	Component Name	Area	IS Area	IS Name	Area Ratio	Retention Time	IS Retention Time
S001CAL1_A2	08/13/2015 19:00:51	1-LG-Q	201162.020572675	35937.6715489646	2AG-ISTD	5.09753906979182	4.96479441244816	4.66632172797562
S001CAL1_A2	08/13/2015 19:00:51	1-OG-Q	970423.143500002	35937.6715489646	2AG-ISTD	27.0031168318127	6.20937844998898	4.66632172797562
S001CAL2_A3	08/13/2015 19:13:32	2-LG-Q	22414.8023404287	28676.1954674385	2AG-ISTD	0.781651888441075	4.72389753389441	4.639289724411
S001CAL2_A3	08/13/2015 19:13:32	1-LG-Q	198413.059468556	28676.1954674385	2AG-ISTD	6.91931255991958	4.96448235704592	4.639289724411
S001CAL2_A3	08/13/2015 19:13:32	1-OG-Q	927997.191999992	28676.1954674385	2AG-ISTD	32.9610289605438	6.20841945037466	4.639289724411
S001CAL3_A4	08/13/2015 19:26:13	2-LG-Q	32500.9023317872	35624.435218392	2AG-ISTD	0.912320493856077	4.72317909982364	4.63428427531003
S001CAL3_A4	08/13/2015 19:26:13	1-LG-Q	230152.024136628	35624.435218392	2AG-ISTD	6.46051011688198	4.96306823769727	4.63428427531003
S001CAL3_A4	08/13/2015 19:26:13	1-OG-Q	926147.007000009	35624.435218392	2AG-ISTD	25.9975211206117	6.20681567430843	4.63428427531003
S001CAL4_A5	08/13/2015 19:38:55	2-LG-Q	39203.0117673136	26892.4128608083	2AG-ISTD	7.45777219657542	4.73568337794617	4.63465027161795
S001CAL4_A5	08/13/2015 19:38:55	1-LG-Q	200153.856420314	26892.4128608083	2AG-ISTD	7.4429861484098	4.96732439322568	4.63465027161795
S001CAL4_A5	08/13/2015 19:38:55	1-OG-Q	942263.727730406	26892.4128608083	2AG-ISTD	35.0384970142871	6.21077804990339	4.63465027161795
S001CAL5_A6	08/13/2015 19:51:36	2-LG-Q	66914.9644227862	20134.9180251367	2AG-ISTD	3.92329957039057	4.72944084534962	4.6356460500045
S001CAL5_A6	08/13/2015 19:51:36	1-LG-Q	260966.435365712	20134.9180251367	2AG-ISTD	12.9608888916219	4.96649994291124	4.6356460500045
S001CAL5_A6	08/13/2015 19:51:36	1-OG-Q	917102.942500006	20134.9180251367	2AG-ISTD	45.0478557873979	6.21180946863103	4.6356460500045
S001CAL6_A7	08/13/2015 20:04:17	2-LG-Q	146063.98273569	29313.0705154253	2AG-ISTD	4.98199598997676	4.73034537488078	4.63367992996733
S001CAL6_A7	08/13/2015 20:04:17	1-LG-Q	376837.009532951	29313.0705154253	2AG-ISTD	12.8527465753529	4.96592043898922	4.63367992996733
S001CAL6_A7	08/13/2015 20:04:17	1-OG-Q	908533.678499999	29313.0705154253	2AG-ISTD	30.9874825083814	6.21036896745982	4.63367992996733
S001CAL7_A8	08/13/2015 20:16:58	2-LG-Q	399325.494883015	36526.9355143148	2AG-ISTD	10.9325364633558	4.72937946387813	4.63746322675386
S001CAL7_A8	08/13/2015 20:16:58	1-LG-Q	798386.293498407	36526.9355143148	2AG-ISTD	27.857826202837	4.96237996640792	4.63746322675386
S001CAL7_A8	08/13/2015 20:16:58	1-OG-Q	1077496.78541514	36526.9355143148	2AG-ISTD	23.4991756014743	6.20604673197312	4.63746322675386
S0001QC_E2	08/13/2015 20:29:40	2-LG-Q	20918.1420248829	33525.1038601717	2AG-ISTD	0.623954577803229	4.73043713590359	4.6351150867003
S0001QC_E2	08/13/2015 20:29:40	1-LG-Q	178857.849725285	33525.1038601717	2AG-ISTD	5.93504237514894	4.96239553288818	4.6351150867003
S0001QC_E2	08/13/2015 20:29:40	1-OG-Q	709568.619500002	33525.1038601717	2AG-ISTD	27.1652922078783	6.20642062493149	4.6351150867003
S0001BLANK_A2	08/13/2015 20:42:20	2-LG-Q	1835.63816075326	453.274278265006	2AG-ISTD	3.99682335289433	4.69477119722866	4.94031656079435
S0001BLANK_A2	08/13/2015 20:42:20	1-LG-Q	603.905205418488	453.274278265006	2AG-ISTD	7.91360547274188	4.97966666666667	4.94031656079435
