Sample							Inositol Results		IS04 - D4-Citric daci (ISTD) Results		OA01 - 2-hydroxybutyric daci Results		IS02 - D4-Succinic daci (ISTD) Results		OA03 - Citric daci Results		IS04 - D4-Citric daci (ISTD) Results	
		Name	Data File	Type	Level	Acq. Date-Time	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area	RT	Area
 	 	S0002_A1	S0002_A1.D	Sample		3-1-2010 17:15	36880	1267578	30332	903182	9646	2972508	15338	506897	30382	980047	30332	903182
 	 	S0160_A1	S0160_A1.D	Sample		3-1-2010 18:08	36877	457046	30332	802877	9644	1680070	15330	487372	30377	443244	30332	802877
 	 	S0167_A1	S0167_A1.D	Sample		3-1-2010 19:01	36880	623004	30338	626058	9713	1324344	15357	461311	30379	283888	30338	626058
 	 	S0002QC_I1	S0002QC_I1.D	Sample		3-1-2010 19:53	36882	967084	30335	618293	9710	1646439	15363	476923	30374	487895	30335	618293
 	 	S0112_A1	S0112_A1.D	Sample		3-1-2010 20:46	36874	484449	30332	730778	9635	1253255	15321	463229	30377	548963	30332	730778
 	 	S0223_A1	S0223_A1.D	Sample		3-1-2010 21:39	36877	356023	30335	781693	9646	3472419	15324	484320	30377	420324	30335	781693
 	 	S0011_A1	S0011_A1.D	Sample		3-1-2010 22:31	36880	607173	30327	642473	9682	1440513	15354	434212	30377	346840	30327	642473
 	 	S0151_B1	S0151_B1.D	Sample		3-1-2010 23:24	36877	747697	30330	751244	9696	2167171	15352	460066	30377	407108	30330	751244
 	 	S0010_A1	S0010_A1.D	Sample		4-1-2010 0:17	36883	968383	30335	726313	9647	3610875	15332	451011	30374	519327	30335	726313
 	 	S0066_A1	S0066_A1.D	Sample		4-1-2010 1:10	36877	474266	30330	684078	9644	496194	15327	457603	30374	732430	30330	684078
 	 	S0012_A1	S0012_A1.D	Sample		4-1-2010 2:02	36880	387687	30338	664180	9644	1466217	15327	456337	30377	538686	30338	664180
 	 	S0013_A1	S0013_A1.D	Sample		4-1-2010 2:55	36880	1132226	30338	679722	9696	5389465	15360	494983	30385	547263	30338	679722
 	 	S0002QC_J1	S0002QC_J1.D	Sample		4-1-2010 3:47	36877	957077	30332	715548	9644	1663264	15327	480308	30371	562055	30332	715548
 	 	S0002BLANK_A3	S0002BLANK_A3.D	Sample		4-1-2010 4:40	37103	2162	30368	0	9635	1577	15282	322	30354	0	30368	0
 	 	S0002CAL1_A1	S0002CAL1_A1.D	Sample		4-1-2010 5:33	36871	901711	30324	741832	9688	1659101	15354	472651	30376	685728	30324	741832
 	 	S0002CAL3_A1	S0002CAL3_A1.D	Sample		4-1-2010 6:26	36877	908929	30332	847152	9649	1740497	15332	460901	30377	995559	30332	847152
 	 	S0002CAL5_A1	S0002CAL5_A1.D	Sample		4-1-2010 7:18	36869	899370	30330	840580	9641	2046402	15327	430464	30385	1907418	30330	840580
 	 	S0002CAL7_A1	S0002CAL7_A1.D	Sample		4-1-2010 8:11	36872	644032	30344	673377	9705	3622016	15357	373433	30396	4391451	30344	673377
 	 	S0002QC_K1	S0002QC_K1.D	Sample		4-1-2010 9:04	36874	957464	30327	679219	9715	1634085	15365	470706	30376	551636	30327	679219
 	 	S0002BLANK_A4	S0002BLANK_A4.D	Sample		4-1-2010 9:57	37114	1597	30354	0	9649	1722	15307	172	30388	0	30354	0
